Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
USC00015785,USC00503160,USC00023082,USC00033540,USC00042934,USC00052228,,,USW00012833,USC00093915,,USC00104456,USC00114198,USC00124715,USC00132689,USC00143393,USC00154375,USC00166434,USC00177654,USC00182336,USC00197230,USC00202308,USC00212050,USC00227921,USC00231708,USC00241953,USC00253037,USC00264086,USC00279966,,USC00292207,USC00302599,USC00313919,USC00324646,USC00333095,USC00343489,USC00353109,USC00361790,,,USC00392565,USC00407201,USC00411348,USC00422726,USC00439591,USC00443213,USC00452493,USC00467342,USC00473268,USC00484920
USC00015847,USC00503181,USC00023150,USC00033544,USC00043030,USC00052281,,,USW00012859,USC00094676,,USC00104588,USC00114355,USC00124730,USC00132999,USC00143523,USC00154449,USC00166584,USC00178353,USC00182695,USC00198301,USC00202328,USC00212250,USC00228053,USC00232220,USC00241974,USC00253075,USC00264314,USC00439691,,USC00292219,USC00302868,USC00314260,USC00324656,USC00333722,USC00343497,USC00353193,USC00361802,,,USC00392797,USC00408065,USC00411412,USC00422798,USW00054742,USC00443229,USC00452531,USC00467352,USC00473271,USC00484925
USC00016805,USC00503196,USC00023160,USC00033734,USC00043384,USC00052286,,,USW00012885,USC00094862,,USC00104908,USC00114447,USC00124782,USC00133007,USC00143545,USC00154949,USC00166585,USC00178398,USC00182795,USC00198367,USC00202375,USC00212253,USC00228996,USC00232318,USC00241984,USC00253595,USC00264341,USW00014776,,USC00292436,USC00302934,USC00314456,USC00324726,USC00333874,USC00343623,USC00353430,USC00362265,,,USC00392820,USC00408246,USC00411429,USC00423348,,USC00443267,USC00452540,USC00467846,USC00473332,USC00485055
USC00016833,USC00503205,USC00023303,USC00033761,USC00043392,USC00052326,,,USW00013884,USC00094971,,USC00105011,USC00114489,USC00124880,USC00133288,USC00143554,USC00154956,USC00166657,USC00179314,USC00182860,USC00198368,USC00202376,USC00212500,USC00229000,USC00232568,USC00241989,USC00253615,USC00264391,USW00054770,,USC00292785,USC00303087,USC00314464,USC00324843,USC00333915,USC00343835,USC00353522,USC00362459,,,USC00392822,USC00408527,USC00411492,USC00423418,,USC00443272,USC00453160,USC00467918,USC00473391,USC00485105
USC00016988,USC00503212,USC00023582,USC00034386,USC00043551,USC00052342,,,USW00092809,USC00095666,,USC00105013,USC00114530,USC00125122,USC00133517,USC00143594,USC00154958,USC00166659,USC00179593,USC00183860,USC00198573,USC00202382,USC00212698,USC00229004,USC00232591,USC00241995,USC00253617,USC00264439, Close,,USC00292820,USC00303124,USC00314496,USC00324879,USC00333971,USC00344235,USC00353627,USC00362470,,,USC00393029,USC00408540,USC00411500,USC00423485,,USC00443375,USC00453333,USC00468282,USC00473405,USC00485115
USC00017025,USC00503275,USC00023584,USC00034390,USC00043571,USC00052441,,,USW00093852,USC00095696,,USC00105015,USC00114593,USC00125407,USC00133718,USC00143847,USC00155067,USC00166661,USC00179720,USC00187615,USC00198757,USC00202394,USC00212721,USC00229048,USC00232619,USC00242112,USC00253630,USC00264457,Return,,USC00292854,USC00303284,USC00314619,USC00324937,USC00334258,USC00344451,USC00353692,USC00362537,,,USC00393076,USC00408570,USC00411524,USC00423486,,USC00444044,USC00453357,USC00468308,USC00473702,USC00485137
USC00017131,USC00503299,USC00023586,USC00034528,USC00043573,USC00052494,,,USW00093859,USC00095811,,USC00105038,USC00114598,USC00125435,USC00133909,USC00143867,USC00155230,USC00166686,USC00179891,USC00187700,USC00199175,USC00202691,USC00213076,USC00229101,USC00232981,USC00242122,USC00253652,USC00264698,,,USC00292865,USC00303289,USC00314684,USC00324958,USC00334551,USC00344564,USC00353908,USC00362634,,,USC00393077,USC00408868,USC00411646,USC00423514,,USC00444414,USC00453529,USC00468433,USC00473756,USC00485170
USC00017157,USC00503304,USC00023591,USC00034562,USC00043639,USC00052557,,,,USC00095882,,USC00105043,USC00114603,USC00125607,USC00133980,USC00143897,USC00155232,USC00166794,,USC00187705,USC00199191,USC00202783,USC00213296,USC00229216,USC00233038,USC00242221,USC00253810,USC00264745,,,USC00293157,USC00303322,USC00314860,USC00325013,USC00334581,USC00344567,USC00354276,USC00362677,,,USC00393082,USC00408916,USC00411649,USC00423600,,USC00444568,USC00453546,USC00468777,USC00473800,USC00485252
USC00017328,USC00503368,USC00023596,USC00034625,USC00043669,USC00052593,,,,USC00095979,,USC00105120,USC00114629,USC00125613,USC00133985,USC00143929,USC00155389,USC00166868,,USC00187806,USC00199193,USC00202784,USC00213303,USC00229543,USC00233043,USC00242313,USC00254520,USC00264824,,,USC00293420,USC00303346,USC00314938,USC00325078,USC00334770,USC00344573,USC00354291,USC00362814,,,USC00393211,USC00408953,USC00411651,USC00423624,,USC00444768,USC00453730,USC00469072,USC00473930,USC00485260
USC00017366,USC00503504,USC00023621,USC00034654,USC00043939,USC00052631,,,,USC00095988,,USC00105236,USC00114710,USC00125656,USC00134038,USC00143946,USC00155444,USC00166978,,USC00189030,USC00199371,USC00202788,USC00213727,USC00229743,USC00233066,USC00242347,USC00254690,USC00265132,,,USC00293488,USC00303360,USC00314962,USC00325186,USC00334874,USC00344672,USC00354347,USC00362942,,,USC00393217,USC00409209,USC00411671,USC00424322,,USC00444777,USC00453765,USC00469492,USC00474523,USC00485345
